,index,Player,Pos,Squad,90s,Prog,ProgPer90
0,0,Patrick van Aanholt,DF,Crystal Palace,12.7,79.0,6.220472440944882
1,1,Tammy Abraham,FW,Chelsea,10.8,11.0,1.0185185185185184
2,2,Che Adams,FW,Southampton,19.3,38.0,1.9689119170984455
3,3,Tosin Adarabioyo,DF,Fulham,19.0,39.0,2.0526315789473686
4,6,Ola Aina,DF,Fulham,18.7,73.0,3.9037433155080214
5,7,Rayan Aït Nouri,DF,Wolves,7.7,18.0,2.3376623376623376
6,8,Semi Ajayi,DF,West Brom,23.0,49.0,2.130434782608696
7,10,Marc Albrighton,"FW,DF",Leicester City,12.4,52.0,4.193548387096774
8,11,Thiago Alcántara,MF,Liverpool,9.1,87.0,9.56043956043956
9,12,Toby Alderweireld,DF,Tottenham,13.9,31.0,2.2302158273381294
10,14,Trent Alexander-Arnold,DF,Liverpool,20.5,178.0,8.682926829268293
11,15,Ezgjan Alioski,"DF,MF",Leeds United,15.6,63.0,4.038461538461538
12,17,Allan,MF,Everton,11.4,26.0,2.280701754385965
13,19,Miguel Almirón,"MF,FW",Newcastle Utd,16.2,40.0,2.469135802469136
14,21,Steven Alzate,"MF,DF",Brighton,7.5,24.0,3.2
15,23,Ethan Ampadu,"DF,MF",Sheffield Utd,15.8,58.0,3.670886075949367
16,24,Joachim Andersen,DF,Fulham,16.7,54.0,3.2335329341317367
17,27,Michail Antonio,FW,West Ham,11.9,10.0,0.8403361344537815
18,29,Stuart Armstrong,MF,Southampton,17.2,56.0,3.255813953488372
19,31,Pierre-Emerick Aubameyang,FW,Arsenal,18.5,42.0,2.27027027027027
20,32,Serge Aurier,DF,Tottenham,11.9,40.0,3.361344537815126
21,34,Jordan Ayew,"FW,MF",Crystal Palace,13.6,28.0,2.058823529411765
22,35,Luke Ayling,DF,Leeds United,22.8,146.0,6.4035087719298245
23,36,César Azpilicueta,DF,Chelsea,12.6,57.0,4.523809523809524
24,38,Fabián Balbuena,DF,West Ham,12.0,27.0,2.25
25,39,George Baldock,DF,Sheffield Utd,18.5,38.0,2.054054054054054
26,41,Patrick Bamford,FW,Leeds United,21.8,14.0,0.6422018348623852
27,43,Ross Barkley,MF,Aston Villa,11.0,44.0,4.0
